year,name,price,mileage,location,link
2005,Honda civic LX Special Edition Sedan 4D,$3000,191000,"Plano, TX",https://www.facebook.com/marketplace/item/185921050844596/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2006,Honda civic LX Sedan 4D,$3900,143000,"Arlington, TX",https://www.facebook.com/marketplace/item/586642630008403/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2006,Honda civic EX Coupe 2D,$4500,150000,"Mansfield, TX",https://www.facebook.com/marketplace/item/892855862043070/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2006,Honda civic DX Sedan 4D,$3270,197000,"Dallas, TX",https://www.facebook.com/marketplace/item/233554695747874/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2007,Honda civic Hybrid Sedan 4D,$3075,190000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/745506277086266/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2007,Honda civic EX Sedan 4D,$3600,147000,"Lewisville, TX",https://www.facebook.com/marketplace/item/897090081553047/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2007,Honda civic,$3750,220000,"Arlington, TX",https://www.facebook.com/marketplace/item/988680082116202/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2007,Honda civic,$3200,200000,"Fort Worth, TX",https://www.facebook.com/marketplace/item/1605215829908796/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2007,Honda civic,$4300,170000,"Haltom City, TX",https://www.facebook.com/marketplace/item/2978663049095255/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
2007,Honda civic Si Sedan 4D,$4300,170000,"Grand Prairie, TX",https://www.facebook.com/marketplace/item/520220756821465/?ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3A186f9c11-f6a7-4818-b881-3137450004e6&__tn__=3D!%3AD
